period,period_date,trust_code,trust_name,icb_name,specialty_code,specialty_name,total_waiting,within_18_weeks,over_52_weeks,pct_within_18_weeks,missed_target
RTT-April-2026,2026-04-01,NPR01,ABOUT HEALTH HQ,NHS SOMERSET INTEGRATED CARE BOARD,C_330,Dermatology Service,1396,1396,0,1.0,False
RTT-April-2026,2026-04-01,S0L9O,ACES BIRMINGHAM,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,C_130,Ophthalmology Service,18,13,0,0.7222,False
RTT-April-2026,2026-04-01,E6F9I,ACES BRADFORD,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,C_130,Ophthalmology Service,1,1,0,1.0,False
RTT-April-2026,2026-04-01,T1T4S,ACES BRISTOL,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",C_130,Ophthalmology Service,68,59,0,0.8676,False
RTT-April-2026,2026-04-01,H3W7Q,ACES CHELMSFORD,NHS ESSEX INTEGRATED CARE BOARD,C_130,Ophthalmology Service,60,50,0,0.8333,False
RTT-April-2026,2026-04-01,U6A5N,ACES CHISWICK,NHS WEST AND NORTH LONDON INTEGRATED CARE BOARD,C_130,Ophthalmology Service,6,4,0,0.6667,True
RTT-April-2026,2026-04-01,R6B6E,ACES DARLINGTON,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,C_130,Ophthalmology Service,1,1,0,1.0,False
RTT-April-2026,2026-04-01,Z4F8Y,ACES DARTFORD,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,C_130,Ophthalmology Service,369,316,0,0.8564,False
RTT-April-2026,2026-04-01,N1M9Z,ACES EXETER,NHS DEVON INTEGRATED CARE BOARD,C_130,Ophthalmology Service,49,38,0,0.7755,False
RTT-April-2026,2026-04-01,F2C9F,ACES HARLEY STREET,NHS WEST AND NORTH LONDON INTEGRATED CARE BOARD,C_130,Ophthalmology Service,1,0,0,0.0,True
RTT-April-2026,2026-04-01,X7M7U,ACES LAKESIDE,NHS ESSEX INTEGRATED CARE BOARD,C_130,Ophthalmology Service,11,11,0,1.0,False
RTT-April-2026,2026-04-01,X0R3Y,ACES LEEDS KING STREET,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,C_130,Ophthalmology Service,11,7,1,0.6364,True
RTT-April-2026,2026-04-01,P1G3N,ACES LEEDS WHITE ROSE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,C_130,Ophthalmology Service,5,2,0,0.4,True
RTT-April-2026,2026-04-01,T1I9W,ACES LINCOLN,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,C_130,Ophthalmology Service,10,8,1,0.8,False
RTT-April-2026,2026-04-01,D2L5T,ACES LIVERPOOL,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,C_130,Ophthalmology Service,60,50,0,0.8333,False
RTT-April-2026,2026-04-01,X1M4L,ACES MAIDSTONE,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,C_130,Ophthalmology Service,2,0,0,0.0,True
RTT-April-2026,2026-04-01,W7J4C,ACES MANCHESTER,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,C_130,Ophthalmology Service,74,44,0,0.5946,True
RTT-April-2026,2026-04-01,N1L8R,ACES MANCHESTER ST JOHNS STREET,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,C_130,Ophthalmology Service,13,11,0,0.8462,False
