period,period_date,total_waiting,within_18_weeks,over_52_weeks,pct_within_18_weeks,trusts_total,trusts_meeting_target,trusts_missing_target
RTT-April-2025,2025-04-01,7421453,4430301,192560,0.597,469,274,195
RTT-May-2025,2025-05-01,7388277,4499048,199590,0.6089,468,285,183
RTT-June-2025,2025-06-01,7400275,4550091,194715,0.6149,471,290,181
RTT-July-2025,2025-07-01,7334286,4486685,192769,0.6117,474,291,183
RTT-August-2025,2025-08-01,7345544,4475566,192024,0.6093,476,288,188
RTT-September-2025,2025-09-01,7329574,4522668,181947,0.617,476,298,178
RTT-October-2025,2025-10-01,7337076,4523866,174373,0.6166,478,300,178
RTT-November-2025,2025-11-01,7191310,4429395,157710,0.6159,498,316,182
RTT-December-2025,2025-12-01,7231880,4440594,142204,0.614,504,301,203
RTT-January-2026,2026-01-01,7187677,4412147,137320,0.6138,515,307,208
RTT-February-2026,2026-02-01,7156212,4472365,124280,0.625,513,302,211
RTT-March-2026,2026-03-01,7045510,4596622,95824,0.6524,532,326,206
RTT-April-2026,2026-04-01,7123980,4623405,100665,0.649,528,328,200
