trust_code,trust_name,icb_name,period,total_waiting,within_18_weeks,over_52_weeks,pct_within_18_weeks,performance_band,missed_target
F2C9F,ACES HARLEY STREET,NHS WEST AND NORTH LONDON INTEGRATED CARE BOARD,April 2026,1,0,0,0.0,Below 70%,True
X1M4L,ACES MAIDSTONE,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,April 2026,2,0,0,0.0,Below 70%,True
DXN,MODALITY LLP,NHS BLACK COUNTRY INTEGRATED CARE BOARD,April 2026,2665,158,54,0.0593,Below 70%,True
NT214,"NUFFIELD HEALTH, WESSEX HOSPITAL",NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,April 2026,583,173,2,0.2967,Below 70%,True
NT304,SPIRE SOUTHAMPTON HOSPITAL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,April 2026,307,93,6,0.3029,Below 70%,True
N8Z8E,ACES TORQUAY,NHS DEVON INTEGRATED CARE BOARD,April 2026,3,1,0,0.3333,Below 70%,True
NT211,"NUFFIELD HEALTH, CHELTENHAM HOSPITAL",NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,April 2026,47,18,5,0.383,Below 70%,True
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,NHS CENTRAL EAST INTEGRATED CARE BOARD,April 2026,153,61,6,0.3987,Below 70%,True
P1G3N,ACES LEEDS WHITE ROSE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,April 2026,5,2,0,0.4,Below 70%,True
NT343,SPIRE THAMES VALLEY HOSPITAL,NHS THAMES VALLEY INTEGRATED CARE BOARD,April 2026,448,197,8,0.4397,Below 70%,True
S3H9L,THE HAMPTONS HOSPITAL LTD,NHS CENTRAL EAST INTEGRATED CARE BOARD,April 2026,735,344,30,0.468,Below 70%,True
NT229,"NUFFIELD HEALTH, NEWCASTLE UPON TYNE HOSPITAL",NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,April 2026,507,238,27,0.4694,Below 70%,True
NT423,MANOR HOSPITAL,NHS CENTRAL EAST INTEGRATED CARE BOARD,April 2026,671,315,6,0.4694,Below 70%,True
NVC16,RENACRES HOSPITAL,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,April 2026,4927,2340,60,0.4749,Below 70%,True
NVC06,FITZWILLIAM HOSPITAL,NHS CENTRAL EAST INTEGRATED CARE BOARD,April 2026,6612,3183,103,0.4814,Below 70%,True
NT433,SARUM ROAD HOSPITAL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,April 2026,284,137,2,0.4824,Below 70%,True
NT215,"NUFFIELD HEALTH, EXETER HOSPITAL",NHS DEVON INTEGRATED CARE BOARD,April 2026,381,187,30,0.4908,Below 70%,True
